Image_Width,Image_Height, canny_time,vertical_time,horizontal_time,mean_time,Canny_flops,Canny_bytes,vertical_flops,vertical_bytes ,horizontal_flops,horizontal_bytes,mean_flops,mean_bytes,d2h_size_MB,d2h_time,h2d_size_mb,h2d_time
2048,2048,39.21072,22.980352,17.885344,4.012928,2071986176,50331648,8388608,16781312,1802.152296,3682.726031,301989888,104857600,64,6.114752,16,32.178337
2048,2048,39.712193,22.976704,17.845921,4.016288,2071986176,50331648,8388608,16781312,1824.910608,3729.245601,301989888,104857600,64,7.551808,16,40.883297
2048,2048,41.920673,22.964928,17.897217,4.017216,2071986176,50331648,8388608,16781312,1925.410474,3934.662295,301989888,104857600,64,6.204928,16,35.655777
2048,2048,42.019775,22.95216,17.894527,4.019616,2071986176,50331648,8388608,16781312,1928.889198,3941.817946,301989888,104857600,64,6.16048,16,35.768417
2048,2048,39.720287,22.996672,17.886112,4.014784,2071986176,50331648,8388608,16781312,1826.868824,3733.178222,301989888,104857600,64,7.350656,16,40.770527
2048,2048,47.11792,22.985023,17.873056,4.014752,2071986176,50331648,8388608,16781312,2166.01295,4426.26174,301989888,104857600,64,7.568544,16,37.691681
2048,2048,39.295902,22.973248,17.914816,4.017152,2071986176,50331648,8388608,16781312,1805.509004,3689.609812,301989888,104857600,64,7.379296,16,40.824993
2048,2048,39.26096,22.963167,17.923937,4.01696,2071986176,50331648,8388608,16781312,1803.111962,3684.745844,301989888,104857600,64,7.246656,16,37.863682
2048,2048,39.227104,22.973824,17.873665,4.016064,2071986176,50331648,8388608,16781312,1802.393167,3683.240541,301989888,104857600,64,6.803008,16,37.79472
4096,4096,148.051193,47.42112,31.808479,16.183935,8287944704,201326592,33554432,67117056,14041.50678,28379.11594,1207959552,419430400,256,25.628672,64,143.085754
4096,4096,161.743073,47.391106,31.796703,16.185217,8287944704,201326592,33554432,67117056,15330.36623,30984.21862,1207959552,419430400,256,27.705696,64,149.081497
4096,4096,158.600128,47.527489,31.84688,16.187456,8287944704,201326592,33554432,67117056,15075.73168,30468.66361,1207959552,419430400,256,25.576416,64,140.427139
4096,4096,161.035233,47.402721,31.792736,16.18512,8287944704,201326592,33554432,67117056,15267.01644,30856.10335,1207959552,419430400,256,27.705185,64,148.355362
4096,4096,158.369247,47.482113,31.802336,16.183201,8287944704,201326592,33554432,67117056,15039.41296,30395.56442,1207959552,419430400,256,23.072256,64,127.555458
4096,4096,148.346115,47.428703,31.780161,16.183807,8287944704,201326592,33554432,67117056,14071.72766,28440.14755,1207959552,419430400,256,25.868671,64,148.623047
4096,4096,148.448608,47.450623,31.829151,16.180992,8287944704,201326592,33554432,67117056,14087.95787,28472.81295,1207959552,419430400,256,25.613056,64,143.458405
4096,4096,157.992508,47.445217,31.804319,16.174208,8287944704,201326592,33554432,67117056,14991.97765,30299.94032,1207959552,419430400,256,23.204767,64,139.209183
4096,4096,160.95549,47.461792,31.832319,16.193151,8287944704,201326592,33554432,67117056,15278.47198,30878.85493,1207959552,419430400,256,27.652704,64,148.631516
4096,4096,151.153824,47.389854,31.793312,16.183231,8287944704,201326592,33554432,67117056,14326.3153,28954.93825,1207959552,419430400,256,25.650656,64,146.294846
4096,4096,151.490402,47.46077,31.790785,16.184383,8287944704,201326592,33554432,67117056,14379.70225,29062.38531,1207959552,419430400,256,23.354944,64,141.683365
4096,4096,150.940033,47.349182,31.794847,16.181791,8287944704,201326592,33554432,67117056,14293.77419,28889.42844,1207959552,419430400,256,23.328192,64,143.933563
4096,4096,151.079865,47.488289,31.857121,16.189632,8287944704,201326592,33554432,67117056,14349.04858,29000.25689,1207959552,419430400,256,23.365919,64,141.847107
4096,4096,148.791611,47.41888,31.774879,16.183807,8287944704,201326592,33554432,67117056,14111.06309,28519.70941,1207959552,419430400,256,27.659103,64,148.668091
4096,4096,161.032059,47.555264,31.884224,16.188448,8287944704,201326592,33554432,67117056,15315.84416,30953.75243,1207959552,419430400,256,22.864576,64,126.842239
4096,4096,158.301605,47.409695,31.806145,16.180128,8287944704,201326592,33554432,67117056,15010.06162,30336.72645,1207959552,419430400,256,25.565216,64,140.891495
4096,4096,147.868896,47.448353,31.84544,16.186399,8287944704,201326592,33554432,67117056,14032.27115,28360.28009,1207959552,419430400,256,27.548449,64,148.722183
4096,4096,161.127014,47.482018,31.846624,16.185888,8287944704,201326592,33554432,67117056,15301.27156,30924.79714,1207959552,419430400,256,25.558464,64,141.16774
4096,4096,161.950394,47.437374,31.796097,16.185152,8287944704,201326592,33554432,67117056,15365.00282,31053.90643,1207959552,419430400,256,23.117825,64,141.818497
4096,4096,151.998688,47.431263,31.821665,16.184223,8287944704,201326592,33554432,67117056,14418.97949,29141.95636,1207959552,419430400,256,27.649153,64,148.465317
4096,4096,158.545471,47.472576,31.826464,16.186272,8287944704,201326592,33554432,67117056,15053.12384,30423.33863,1207959552,419430400,256,25.636353,64,142.000122
4096,4096,157.957977,47.531937,31.879105,16.186975,8287944704,201326592,33554432,67117056,15016.09722,30348.1104,1207959552,419430400,256,23.195648,64,140.797531
4096,4096,161.104965,47.441952,31.836479,16.179487,8287944704,201326592,33554432,67117056,15286.26803,30894.746,1207959552,419430400,256,23.36544,64,143.390594
4096,4096,158.257126,47.397121,31.788288,16.183489,8287944704,201326592,33554432,67117056,15001.8643,30320.24285,1207959552,419430400,256,23.178432,64,141.048889
4096,4096,151.205383,47.467136,31.831425,16.182592,8287944704,201326592,33554432,67117056,14354.57296,29011.55668,1207959552,419430400,256,27.548609,64,148.735687
4096,4096,151.255737,47.427296,31.809441,16.176449,8287944704,201326592,33554432,67117056,14347.30122,28997.11392,1207959552,419430400,256,25.633312,64,141.979614
4096,4096,151.030655,47.405792,31.843391,16.18928,8287944704,201326592,33554432,67117056,14319.45563,28940.97258,1207959552,419430400,256,27.501087,64,148.246201
4096,4096,150.735001,47.456192,31.802496,16.181025,8287944704,201326592,33554432,67117056,14306.6183,28914.7066,1207959552,419430400,256,25.676992,64,140.213211
4096,4096,158.396729,47.441536,31.812737,16.181248,8287944704,201326592,33554432,67117056,15029.16824,30375.12994,1207959552,419430400,256,27.519009,64,148.70192
4096,4096,151.295258,47.439423,31.818527,16.183041,8287944704,201326592,33554432,67117056,14354.71948,29012.02948,1207959552,419430400,256,22.944128,64,126.779427
4096,4096,150.891357,47.408703,31.817888,16.186399,8287944704,201326592,33554432,67117056,14307.12706,28916.03683,1207959552,419430400,256,25.584255,64,144.56665
5120,5120,235.767899,62.037663,39.813057,25.25824,12949913600,314572800,52428800,104867840,29252.97893,58977.49366,1887436800,655360000,400,36.041023,100,230.881119
5120,5120,246.688583,61.951809,39.825184,25.250015,12949913600,314572800,52428800,104867840,30565.60795,61624.59307,1887436800,655360000,400,42.655006,100,232.226746
5120,5120,246.206268,61.950497,39.825665,25.255585,12949913600,314572800,52428800,104867840,30505.20133,61502.8152,1887436800,655360000,400,39.967327,100,228.78154
5120,5120,246.303391,61.984833,39.887104,25.257952,12949913600,314572800,52428800,104867840,30534.14912,61560.90502,1887436800,655360000,400,42.643776,100,232.045883
5120,5120,246.803452,62.036736,39.903713,25.254784,12949913600,314572800,52428800,104867840,30621.76119,61737.12929,1887436800,655360000,400,39.799934,100,221.329025
5120,5120,231.304611,61.935745,39.759552,25.249151,12949913600,314572800,52428800,104867840,28652.04681,57766.70284,1887436800,655360000,400,35.9832,100,224.168701
5120,5120,231.099579,61.967743,39.826656,25.261312,12949913600,314572800,52428800,104867840,28641.43864,57745.07643,1887436800,655360000,400,35.985535,100,222.450211
